node1	node2
61	16
61	17
61	29
61	34
61	36
61	43
62	2
62	4
62	12
62	15
62	16
62	17
62	19
62	22
62	26
62	48
63	5
63	6
63	7
63	14
63	15
63	18
63	25
63	28
63	29
63	31
63	32
63	35
64	2
64	16
64	19
64	22
64	53
65	6
65	11
65	13
65	24
65	26
65	36
65	40
65	41
65	49
65	54
65	55
66	13
66	15
66	22
66	23
66	26
66	39
66	41
66	49
66	55
67	13
67	24
67	26
67	43
68	19
68	22
68	26
68	27
68	41
68	43
69	22
69	26
69	39
69	43
70	4
70	11
70	19
70	28
70	29
70	32
70	40
70	46
71	13
71	22
71	27
71	49
